in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
-0.4,2,1.2,0.846613,156.95252,dy_4-0.4_dx_02_dy_01.2.png
0.4,2,1.2,0.832901,153.766959,dy_40.4_dx_02_dy_01.2.png
1.2,2,1.2,0.149404,168.720952,dy_41.2_dx_02_dy_01.2.png
2,2,1.2,0.096452,193.549711,dy_42_dx_02_dy_01.2.png
-2,-2,2,0.064633,249.934764,dy_4-2_dx_0-2_dy_02.png
-1.2,-2,2,0.09204,227.77148,dy_4-1.2_dx_0-2_dy_02.png
-0.4,-2,2,0.286145,212.486359,dy_4-0.4_dx_0-2_dy_02.png
0.4,-2,2,0.607056,207.020411,dy_40.4_dx_0-2_dy_02.png
1.2,-2,2,0.148573,212.243572,dy_41.2_dx_0-2_dy_02.png
2,-2,2,0.090405,226.42465,dy_42_dx_0-2_dy_02.png
-2,-1.2,2,0.055048,212.57418,dy_4-2_dx_0-1.2_dy_02.png
-1.2,-1.2,2,0.074928,188.528116,dy_4-1.2_dx_0-1.2_dy_02.png
-0.4,-1.2,2,0.189596,171.19824,dy_4-0.4_dx_0-1.2_dy_02.png
0.4,-1.2,2,0.455833,164.075108,dy_40.4_dx_0-1.2_dy_02.png
1.2,-1.2,2,0.145887,168.895114,dy_41.2_dx_0-1.2_dy_02.png
2,-1.2,2,0.080002,184.206009,dy_42_dx_0-1.2_dy_02.png
-2,-0.4,2,0.054416,189.436696,dy_4-2_dx_0-0.4_dy_02.png
-1.2,-0.4,2,0.0689,163.345876,dy_4-1.2_dx_0-0.4_dy_02.png
-0.4,-0.4,2,0.132502,143.313395,dy_4-0.4_dx_0-0.4_dy_02.png
0.4,-0.4,2,0.26614,133.37404,dy_40.4_dx_0-0.4_dy_02.png
1.2,-0.4,2,0.135056,137.374463,dy_41.2_dx_0-0.4_dy_02.png
2,-0.4,2,0.055228,154.833515,dy_42_dx_0-0.4_dy_02.png
-2,0.4,2,0.061572,178.623443,dy_4-2_dx_00.4_dy_02.png
-1.2,0.4,2,0.077236,150.875439,dy_4-1.2_dx_00.4_dy_02.png
-0.4,0.4,2,0.130083,128.026735,dy_4-0.4_dx_00.4_dy_02.png
0.4,0.4,2,0.145064,113.345979,dy_40.4_dx_00.4_dy_02.png
1.2,0.4,2,0.08383,115.015079,dy_41.2_dx_00.4_dy_02.png
2,0.4,2,0.053884,137.424467,dy_42_dx_00.4_dy_02.png
-2,1.2,2,0.073894,183.919965,dy_4-2_dx_01.2_dy_02.png
-1.2,1.2,2,0.099884,155.768807,dy_4-1.2_dx_01.2_dy_02.png
-0.4,1.2,2,0.213129,132.100519,dy_4-0.4_dx_01.2_dy_02.png
0.4,1.2,2,0.204248,115.088441,dy_40.4_dx_01.2_dy_02.png
1.2,1.2,2,0.097929,113.851531,dy_41.2_dx_01.2_dy_02.png
2,1.2,2,0.07205,140.68339,dy_42_dx_01.2_dy_02.png
-2,2,2,0.085621,220.942195,dy_4-2_dx_02_dy_02.png
-1.2,2,2,0.124257,193.920854,dy_4-1.2_dx_02_dy_02.png
-0.4,2,2,0.382399,172.400723,dy_4-0.4_dx_02_dy_02.png
0.4,2,2,0.373038,160.33898,dy_40.4_dx_02_dy_02.png
1.2,2,2,0.138079,163.524541,dy_41.2_dx_02_dy_02.png
2,2,2,0.087225,182.902031,dy_42_dx_02_dy_02.png
